timestamp,scope,event,count,latency_avg_us,latency_max_us,latency_p50_us,latency_p95_us,latency_p99_us,total_latency_us,bytes_total,error_count,error_rate
1768820060,node,poll,11131,1294.26,4985578,0,1,7,14406377,0,0,0.0000
1768820060,node,sched_lat,11798,11.27,5293,6,16,39,132986,0,0,0.0000
1768820060,node,nanosleep,611,16219.87,4000077,91,10082,10200,9910342,0,0,0.0000
1768820060,node,softirq,3628,5.32,300,2,18,46,19289,15810,0,0.0000
1768820060,node,epoll_pwait,1848,2699.82,999343,0,8085,31080,4989273,0,0,0.0000
1768820060,node,connect,5,86.00,108,90,108,108,430,0,5,1.0000
1768820060,node,dstate_io,58,53.17,615,25,202,615,3084,0,0,0.0000
1768820060,node,write,4,191.75,218,213,218,218,767,114,0,0.0000
1768820060,node,read,6,1373.17,3348,1558,3348,3348,8239,157,0,0.0000
1768820060,node,runqlen,64,0.00,0,0,0,0,0,213768,0,0.0000
1768820060,node,epoll_wait,227,89370.39,5578102,1,100159,998645,20287079,0,1,0.0044
1768820060,node,select,2,1000585.00,1001035,1001035,1001035,1001035,2001170,0,0,0.0000
1768820060,node,futex,70,125671.04,1399406,117,1000027,1399406,8796973,0,31,0.4429
1768820060,node,sendmsg,2,63.00,63,63,63,63,126,646,0,0.0000
1768820060,node,pselect6,1,1001037.00,1001037,1001037,1001037,1001037,1001037,0,0,0.0000
1768820060,node,io_qdepth,14,0.00,0,0,0,0,0,127,0,0.0000
1768820060,node,block_io,13,136.00,201,134,201,201,1768,65536,0,0.0000
1768820060,node,fdatasync,4,453.00,890,441,890,890,1812,0,0,0.0000
1768820060,node,sendto,2,55.50,56,56,56,56,111,40,0,0.0000
1768820060,node,recvmsg,4,51.50,53,52,53,53,206,30276,0,0.0000
1768820061,node,sched_lat,8036,17.88,7563,6,17,46,143693,0,0,0.0000
1768820061,node,nanosleep,184,75742.72,4000080,10070,10109,4000079,13936660,0,0,0.0000
1768820061,node,read,63,323.37,847,282,620,847,20372,222529,0,0.0000
1768820061,node,softirq,3020,4.72,211,0,23,64,14252,13602,0,0.0000
1768820061,node,epoll_pwait,1784,2427.00,1000040,0,5080,35074,4329762,0,0,0.0000
1768820061,node,io_qdepth,10,0.00,0,0,0,0,0,87,0,0.0000
1768820061,node,block_io,9,217.00,314,208,314,314,1953,253952,0,0.0000
1768820061,node,runqlen,61,0.00,0,0,0,0,0,263250,0,0.0000
1768820061,node,connect,4,76.00,88,77,88,88,304,0,4,1.0000
1768820061,node,dstate_io,9,207.89,851,66,851,851,1871,0,0,0.0000
1768820061,node,write,2,106.50,111,111,111,111,213,108,0,0.0000
1768820061,node,epoll_wait,288,52076.19,3601699,31,100139,896841,14997943,0,0,0.0000
1768820061,node,poll,14237,891.85,4001137,1,1,9,12697299,0,0,0.0000
1768820061,node,select,2,1000497.00,1000893,1000893,1000893,1000893,2000994,0,0,0.0000
1768820061,node,futex,80,92066.25,1000087,11,999961,1000087,7365300,0,30,0.3750
1768820061,node,sendmsg,2,54.50,59,59,59,59,109,395,0,0.0000
1768820061,node,pselect6,1,1000515.00,1000515,1000515,1000515,1000515,1000515,0,0,0.0000
1768820061,node,fsync,1,1163.00,1163,1163,1163,1163,1163,0,0,0.0000
1768820061,node,sendto,2,65.50,72,72,72,72,131,40,0,0.0000
1768820061,node,recvmsg,2,92.00,120,120,120,120,184,4192,0,0.0000
1768820062,node,sched_lat,12403,24.14,20466,6,21,214,299464,0,0,0.0000
1768820062,node,runqlen,64,0.00,0,0,0,0,0,243073,0,0.0000
1768820062,node,read,55,1214.49,17945,193,8829,17945,66797,43887,0,0.0000
1768820062,node,softirq,3819,4.03,104,0,19,53,15395,19806,0,0.0000
1768820062,node,epoll_pwait,1279,4051.58,1000036,0,9084,36090,5181974,0,0,0.0000
1768820062,node,nanosleep,423,43705.43,4000084,105,10087,1000090,18487399,0,2,0.0047
1768820062,node,connect,6,95.83,124,101,124,124,575,0,6,1.0000
1768820062,node,poll,11262,494.80,1001033,0,1,550,5572386,0,0,0.0000
1768820062,node,dstate_io,158,1720.90,36905,108,8813,36614,271902,0,0,0.0000
1768820062,node,io_qdepth,56,0.00,0,0,0,0,0,698,0,0.0000
1768820062,node,epoll_wait,415,25374.03,1001033,34,100135,224263,10530221,0,0,0.0000
1768820062,node,futex,117,114841.45,4107989,54,999938,1999447,13436450,0,24,0.2051
1768820062,node,select,3,710636.33,1001041,1001039,1001041,1001041,2131909,0,0,0.0000
1768820062,node,block_io,45,141.40,345,111,332,345,6363,544768,0,0.0000
1768820062,node,recvmsg,14,77.71,157,64,157,157,1088,196240,0,0.0000
1768820062,node,pselect6,1,1001028.00,1001028,1001028,1001028,1001028,1001028,0,0,0.0000
1768820062,node,fdatasync,25,440.24,1128,424,782,1128,11006,0,0,0.0000
1768820062,node,sendto,2,56.50,57,57,57,57,113,40,0,0.0000
1768820062,node,write,4,16908.75,36987,30327,36987,36987,67635,19,0,0.0000
1768820063,node,sched_lat,8659,17.07,10340,6,16,45,147795,0,0,0.0000
1768820063,node,futex,258,34543.10,1000088,49,134243,999970,8912120,0,41,0.1589
1768820063,node,softirq,3571,5.37,311,0,21,76,19181,15480,0,0.0000
1768820063,node,nanosleep,418,23397.62,4000076,105,10091,1000080,9780205,0,0,0.0000
1768820063,node,runqlen,62,0.00,0,0,0,0,0,353758,0,0.0000
1768820063,node,connect,4,77.25,93,78,93,93,309,0,4,1.0000
1768820063,node,epoll_pwait,371,35065.97,8108139,0,14072,499535,13009476,0,0,0.0000
1768820063,node,dstate_io,26,151.23,666,106,342,666,3932,0,0,0.0000
1768820063,node,poll,91,145024.53,4000037,1,676146,4000037,13197232,0,0,0.0000
1768820063,node,epoll_wait,232,44634.35,1001045,167,100160,551001,10355170,0,0,0.0000
1768820063,node,select,2,608542.00,1001038,1001038,1001038,1001038,1217084,0,0,0.0000
1768820063,node,read,8,836.75,1134,1086,1134,1134,6694,466,0,0.0000
1768820063,node,ppoll,1,5000033.00,5000033,5000033,5000033,5000033,5000033,0,0,0.0000
1768820063,node,pselect6,1,1000351.00,1000351,1000351,1000351,1000351,1000351,0,0,0.0000
1768820063,node,recvmsg,1,51.00,51,51,51,51,51,70760,0,0.0000
1768820063,node,io_qdepth,29,0.00,0,0,0,0,0,594,0,0.0000
1768820063,node,block_io,28,199.14,328,212,320,328,5576,118784,0,0.0000
1768820063,node,fsync,1,1058.00,1058,1058,1058,1058,1058,0,0,0.0000
1768820063,node,sendto,2,71.00,88,88,88,88,142,40,0,0.0000
1768820063,node,tcp_retrans,2,0.00,0,0,0,0,0,0,0,0.0000
1768820063,node,sendmsg,5,68.20,73,68,73,73,341,2561,0,0.0000
1768820063,node,fdatasync,7,410.71,554,443,554,554,2875,0,0,0.0000
1768820064,node,sched_lat,7973,13.06,6033,6,16,37,104155,0,0,0.0000
1768820064,node,futex,212,42371.94,1000449,77,100434,1000080,8982852,0,66,0.3113
1768820064,node,nanosleep,491,19878.32,4000088,97,10091,1000078,9760253,0,0,0.0000
1768820064,node,softirq,3031,5.86,266,1,26,90,17768,13374,0,0.0000
1768820064,node,runqlen,65,0.00,0,0,0,0,0,394118,0,0.0000
1768820064,node,epoll_pwait,1290,4115.48,1000024,0,9078,45069,5308966,0,0,0.0000
1768820064,node,connect,4,77.25,91,89,91,91,309,0,4,1.0000
1768820064,node,dstate_io,33,180.79,797,120,636,797,5966,0,0,0.0000
